	sch	sch_comment	wmo	wmo_comment	min_date	max_date	station
1795	VNG	VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-02	0-20000-0-60656
1798	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	57	Modem M2K2-DC (France)                	2012-12-31	2013-01-01	0-20000-0-96471
1832	BKg	BKg South Korea Jinyang 403 MHz RSG-20A GPS radiosonde {2010?} 31313=52108  [F=T403DL,P=Ac,T=T,U=A,N=G]	21	VIZ/Jin Yang MARK I MICROSONDE (Republic of Korea)           	2012-12-31	2013-01-01	0-20000-0-47090
1833	J06	J06 Japan Meisei RS-06G GPS radiosonde {2008} 31313=73008   (W3=30[BUFR code=130]) [F=T404.5DL,P=none,T=TB,U=A,N=GD]	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-89532
1843	C2	"[10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-96237
1845	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-19	2013-01-01	0-20000-0-94430
1853	C2	"[10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"	117	Graw DFM-09 (Germany)                            	2012-12-31	2013-01-01	0-20000-0-76458
1857	VNl	VNl Vaisala RS92 DigiCORA III auto corr, LoRAN wind 31313=48006  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=L]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-15614
1862	VCG	VCG Vaisala RS80 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=46108  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-96315
1865	I31	I31 India 401 MHz Mark 3 radiosonde {1992} WMO instr=20  (T=183, W1=22, W3=20) [F=T401-406FB,P=A,T=TR,U=L]	117	Graw DFM-09 (Germany)                            	2012-12-30	2013-01-01	0-20000-0-42101
1878	RZW	RZW Russia MRZ-3A radiosonde with MARL-A or Vektor-M phased-array radiotheodolite {2004} 31313=58803  (W3=88) [F=T1680PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-31168
1912	I42	I42 India 1680 MHz Mark 4 carbon hygristor radiosonde {2003}, sometimes 31313=02002  [F=T1680FL,P=A,T=TR,U=C]	117	Graw DFM-09 (Germany)                            	2012-12-30	2013-01-01	0-20000-0-42339
1914	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	115	PAZA-12M/Radiotheodolite-UL (Ukraine)                             	2012-12-29	2013-01-01	0-20000-0-33658
1927	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71957
1932	VCL	VCL Vaisala RS80 DigiCORA I, II, or Marwin auto corr, LoRAN wind 31313=46106  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=L]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71845
1955	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71924
1978	ZKN	ZKN Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF, new RH coefficients {1999} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR,U=C,W=Da(ART-2)]	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-91376
1989	FGD	FGD France Geolink-Modem M2K2-DC 1680 MHz improved radiation protection {2006} 31313=55708  [F=T1680DL,P=0,T=TC,U=A,N=GC]	57	Modem M2K2-DC (France)                	2012-12-30	2013-01-01	0-20000-0-14015
2021	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-63741
2029	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-82824
2036	???	??? Unknown instrument category because data is not available for checking 	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-82983
2058	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-58238
2061	V18	V18 Vaisala RS18 hair hygrometer radiosonde {1972} WMO instr=35  (W3=35, T=031) [F=T25,400,1680FR,P=2Ac,T=BRc,U=Hrc]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-03-20	2013-03-13	0-20000-0-87047
2088	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-29231
2106	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	133	Nanjing GTS1-2/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-57494
2108	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	117	Graw DFM-09 (Germany)                            	2012-12-31	2013-01-01	0-20000-0-17095
2109	FGC	FGC France Geolink-Modem M2K2-DC 1680 MHz improved radiation protection {2006} 31313=45708  [F=T1680DL,P=0,T=TC,U=A,N=GC]	57	Modem M2K2-DC (France)                	2012-12-31	2013-01-01	0-20000-0-96147
2122	VHG	VHG Vaisala RS80-15G or RS80-15GA codeless GPS radiosonde, pre-199905, Intermediate Frequency (IF) drift problem {1995}  [F=T403FL,P=Ac,T=CB,U=A,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-83362
2126	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-74455
2150	VNG	VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	57	Modem M2K2-DC (France)                	2012-12-30	2013-01-01	0-20000-0-48615
2171	VCG	VCG Vaisala RS80 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=46108  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-28	2013-01-01	0-20000-0-60680
2174	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-91643
2191	57	Modem M2K2-DC (France)                	57	Modem M2K2-DC (France)                	2012-12-24	2013-01-15	0-20000-0-37099
2192	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71945
2195	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	111	Sippican LMS6 w/Chip Thermistor, external boom mounted capacitance relative   humidity sensor, and derived pressure from GPS   height          	2012-12-03	2013-01-28	0-20000-0-84628
2200	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-26	2013-01-01	0-20000-0-91610
2220	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-82900
2233	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-28	2013-01-02	0-20000-0-95527
2249	RZD	RZD exact type insufficiently documented	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-32098
2273	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-41217
2286	V18	V18 Vaisala RS18 hair hygrometer radiosonde {1972} WMO instr=35  (W3=35, T=031) [F=T25,400,1680FR,P=2Ac,T=BRc,U=Hrc]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-83288
2290	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-40375
2296	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	57	Modem M2K2-DC (France)                	2012-12-31	2013-01-01	0-20000-0-60390
2333	RPK	RPK Ukraine PAZA-22M with MARL-A radar {~2009} 31313=58803 or 31313=52716 or *48** 	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-35229
2337	VEv	VEv Vaisala RS80 Star auto solar corr, Omega wind 31313=56305  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=O]	177	Modem GPSonde M10 (France)                           	2012-12-30	2013-01-01	0-20000-0-91948
2364	RHM	RHM Russia MRZ-3AK1 (previously MRZ* or BAR) 1680 MHz radiosonde, MARL-A or Vektor-M {2004} 31313=58903  (W3=89) [F=T1780PL,P=0,T=TR(MMT-1),	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20001-0-34731
2373	117	Graw DFM-09 (Germany)                            	117	Graw DFM-09 (Germany)                            	2012-12-31	2013-01-01	0-20000-0-17064
2376	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-92044
2383	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-24641
2397	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	80	Vaisala RS92/Digicora III (Finland)               	2012-06-05	2013-04-18	0-20000-0-60760
2411	RA4	RA4 USSR A-22-IV transponder radiosonde {1961}  (W2=12, T=074) [F=V403ME,P=2A,T=BC,U=G,W=T216m]	57	Modem M2K2-DC (France)                	2012-12-31	2013-01-01	0-20000-0-44277
2417	W__	W__ Wind only, method unspecified 	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-31	2013-01-01	0-20000-0-83649
2421	C2	"[10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"	80	Vaisala RS92/Digicora III (Finland)               	2002-05-25	2013-05-23	0-20000-0-84203
2424	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-83229
2428	C2	"[10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-83746
2442	RZW	RZW Russia MRZ-3A radiosonde with MARL-A or Vektor-M phased-array radiotheodolite {2004} 31313=58803  (W3=88) [F=T1680PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20001-0-20744
2490	G4	[23,24,25|05,15] French Mesural or Metox (There may be some radiation heating at 300 mb through 1976 as in stations 65578 and 91925)	57	Modem M2K2-DC (France)                	2012-12-30	2013-01-01	0-20000-0-61998
2515	RRc	RRc USSR MARS-2-2 radiosonde auto solar corr, 31313=52903 	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-32477
2537	RHM	RHM Russia MRZ-3AK1 (previously MRZ* or BAR) 1680 MHz radiosonde, MARL-A or Vektor-M {2004} 31313=58903  (W3=89) [F=T1780PL,P=0,T=TR(MMT-1),	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-21432
2538	ZF1	ZF1 VIZ model 1192 NWS 1680 MHz, new hygristor duct {1970}  (T=411) [F=Vt1680AB,P=A,T=TR(ML-405),U=C,W=Da(WBRT or GMD-1)]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-87155
2558	VG_	VG_ Vaisala RS80 DigiCORA III radiosonde base case 31313=96799  (W3=67) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-19	2013-01-04	0-20000-0-03502
2559	RRB	RRB USSR MARS-2-2 radiosonde {1983} 31313=72903  (W3=29, T=225, 31313=72903) used with Meteorit-2 radar [F=T1780PM,P=0,T=TR,U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-44292
2564	???	??? Unknown instrument category because data is not available for checking 	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-83498
2567	H1	[--|04,14] Vaisala RS18, RS15, RS13, RS12, or RS11 (introduced 1936)	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-06	0-20000-0-83650
2586	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-30372
2605	BFG	BFG South Africa InterMet Africa BAT-16G radiosonde {2007} 31313=49808  [F=T1676-1682FL,P=none,T=TB,U=A,N=G]	99	iMet-2/iMet-3200 GPS radiosonde with derived pressure from GPS height (South Africa)        	2012-12-28	2013-01-02	0-20000-0-68110
2607	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-30	2013-01-01	0-20000-0-32618
2608	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-31	2013-01-01	0-20000-0-60571
2610	RZW	RZW Russia MRZ-3A radiosonde with MARL-A or Vektor-M phased-array radiotheodolite {2004} 31313=58803  (W3=88) [F=T1680PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20001-0-37259
2645	J06	J06 Japan Meisei RS-06G GPS radiosonde {2008} 31313=73008   (W3=30[BUFR code=130]) [F=T404.5DL,P=none,T=TB,U=A,N=GD]	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-96749
2646	G4	[23,24,25|05,15] French Mesural or Metox (There may be some radiation heating at 300 mb through 1976 as in stations 65578 and 91925)	57	Modem M2K2-DC (France)                	2012-12-30	2013-01-01	0-20000-0-91958
2653	C2	"[10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-96035
2669	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-15	2013-03-06	0-20000-0-68906
2679	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-83971
2686	VCG	VCG Vaisala RS80 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=46108  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-31	2013-01-01	0-20000-0-83208
2692	???	??? Unknown instrument category because data is not available for checking 	57	Modem M2K2-DC (France)                	2012-12-28	2013-01-02	0-20000-0-62306
2704	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-24944
2716	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	57	Modem M2K2-DC (France)                	2012-08-27	2013-02-06	0-20000-0-63894
2720	VHg	VHg Vaisala RS80-15GH H-Humicap GPS radiosonde  [F=T403FL,P=Ac,T=CB,U=A,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-82022
2721	VNG	VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-31	2013-01-01	0-20000-0-83525
2752	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-31	2013-01-01	0-20000-0-40745
2756	RLA	RLA Russia AK2-02A radiosonde with 1780 MHz AVK tracking {2008} (31313=50903--]52803, W3=128)  [F=T1780DL,P=0,T=TR(CT8103C5-3435),U=A(Honeywell HIH4000),W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-38064
2758	J9H	J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702  (W3=47) [F=T1680FL,P=Ac,T=TR,U=A]	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-47681
2791	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-54727
2798	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-83768
2799	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71925
2809	VCG	VCG Vaisala RS80 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=46108  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-92035
2813	VNG	VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-82107
2816	J80	J80 Japan Meisei RSII-80 or RS2-80 radiosonde {1981} 31313=72202  (W2=09, W3=22, 31313=72202) [F=T1680FB,P=A,T=TR,U=C]	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-96163
2817	V18	V18 Vaisala RS18 hair hygrometer radiosonde {1972} WMO instr=35  (W3=35, T=031) [F=T25,400,1680FR,P=2Ac,T=BRc,U=Hrc]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-82397
2826	VCG	VCG Vaisala RS80 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=46108  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-82532
2831	W__	W__ Wind only, method unspecified 	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	1996-01-25	2013-03-23	0-20000-0-15490
2833	RZK	RZK Russia MRZ-3A 1780 MHz radiosonde with AVK-ARMA ground station {1997} 31313=57503 (moist)  (W3=75) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	58	AVK-BAR (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-29572
2878	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	117	Graw DFM-09 (Germany)                            	2012-12-31	2013-01-01	0-20000-0-17351
2894	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-25400
2907	C@	Mixed carbon and capacitive, capacitive models unknown (17030 and other Turkish stations)	117	Graw DFM-09 (Germany)                            	2012-12-31	2013-01-01	0-20000-0-17220
2913	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	131	Taiyuan GTS1-1/GFE(L) (China )                           	2012-12-31	2013-01-01	0-20000-0-59280
2929	VNG	VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-60155
2936	VHG	VHG Vaisala RS80-15G or RS80-15GA codeless GPS radiosonde, pre-199905, Intermediate Frequency (IF) drift problem {1995}  [F=T403FL,P=Ac,T=CB,U=A,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-82281
2956	RK5	RK5 USSR RKZ-5 radiosonde {1971}  (W1=14, W2=20, T=311) [F=V1780PE,P=0,T=TR,U=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-40948
2959	VNt	VNt Vaisala RS92 DigiCORA III auto corr, ranging wind 31313=48003  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,W=T]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-30	2013-01-01	0-20000-0-94821
2962	J9H	J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702  (W3=47) [F=T1680FL,P=Ac,T=TR,U=A]	122	Meisei RS-11G GPS radiosonde w/thermistor, capacitance   relative humidity sensor,   and derived pressure from GPS   height (Japan)         	2012-12-31	2013-01-01	0-20000-0-47580
2969	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-27962
2975	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-40430
2977	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-89009
2978	RZD	RZD exact type insufficiently documented	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-27995
2979	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	80	Vaisala RS92/Digicora III (Finland)               	2012-12-20	2013-01-05	0-20000-0-89662
2996	RRb	RRb USSR MARS-2-2 radiosonde, automated processing, dew point to or near top {~1987} 31313=72903 	58	AVK-BAR (Russian Federation)                	2012-12-30	2013-01-01	0-20000-0-89592
3015	Zng	Zng Sippican model 1548-611 MK II Microsonde 403 MHz rod thermistor DGPS (LOS) no P, no cor {~1997} 31313=04908  [F=T403DL,P=0,T=TR,U=C,N=G] used with	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-82705
3026	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72493
3066	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-27	2013-01-01	0-20000-0-06235
3067	VD_	VD_ Vaisala RS80 PC Cora base case 31313=96299  (W3=62) [F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=none]	80	Vaisala RS92/Digicora III (Finland)               	2012-11-15	2013-03-24	0-20000-0-03023
