	wmo	lat	lon	station	date_min	date_max
418	10438	  51.33	   9.50	Kassel, Germany	1932-09-01 00:00:00	1933-08-01 00:00:00
419	10451	  51.66	  10.49	(made up station ID) Bad Lauterberg SOUSY wind profiler, Germany	1975-01-01 00:00:00	1975-01-01 00:00:00
420	10454	  51.85	  10.77	Wernigerode, East Germany	1963-09-01 00:00:00	1964-12-31 00:00:00
421	10468	  51.63	  12.30	(assigned station ID) Bitterfeld, Germany	1932-09-01 00:00:00	2004-01-23 00:00:00
422	10469	  51.42	  12.22	Leipzig (Schkeuditz), Germany	1932-09-01 00:00:00	1933-08-01 00:00:00
423	10470	  51.33	  12.39	Leipzig - Geophysical Institute, University of Leipzig, Germany	1902-07-01 00:00:00	1930-09-01 00:00:00
424	10486	  51.12	  13.68	Dresden (Wahnsdorf), East Germany	1975-07-12 00:00:00	2000-09-11 00:00:00
425	10488	  51.08	  13.77	Dresden, Germany	1932-09-01 00:00:00	1933-08-01 00:00:00
426	10501	  50.78	   6.08	Aachen, Germany	1932-09-01 00:00:00	1933-08-01 00:00:00
427	10509	  50.98	   6.88	EDDK Koeln / Cologne - Koeln Butzweilerhof AP, Germany	1932-09-01 00:00:00	1942-06-01 00:00:00
428	10513	  50.87	   7.13	EDDK Koeln / Cologne - Koeln Bonn AP, West Germany	1963-09-01 00:00:00	1965-07-19 00:00:00
429	10533	  50.60	   8.73	Giessen, West Germany	1989-04-27 00:00:00	1990-05-08 00:00:00
430	10548	  50.57	  10.38	Meiningen, East Germany	1970-07-01 00:00:00	2005-08-15 00:00:00
431	10554	  51.02	  11.03	Erfurt, Germany	1932-09-01 00:00:00	1942-03-31 00:00:00
432	10555	  50.95	  11.25	Weimar, Germany	1933-06-01 00:00:00	1933-08-01 00:00:00
433	10567	  50.90	  12.07	Gera, Germany	1933-06-01 00:00:00	1933-08-01 00:00:00
434	10569	  50.50	  12.13	Plauen, Germany	1933-06-01 00:00:00	1933-08-01 00:00:00
435	10609	  49.75	   6.67	Trier, Germany	1939-09-06 00:00:00	1940-05-15 00:00:00
436	10610	  49.95	   6.57	Bitburg, Germany	1954-05-01 00:00:00	1959-08-01 00:00:00
437	10618	  49.70	   7.33	Idar-Oberstein, West Germany	1988-01-01 00:00:00	2001-04-25 00:00:00
438	10619	  49.63	   7.30	Baumholder, West Germany	1981-05-26 00:00:00	1988-03-07 00:00:00
439	10633	  50.05	   8.33	Weisbaden Air Base (operated by US Air Force), West Germany	1946-05-01 00:00:00	1957-07-01 00:00:00
440	10636	  50.02	   8.52	Frankfurt am Main AP atmospheric profiler (operated by DFS Deutsche Flugsicherung GmbH), Germany	2004-06-01 00:00:00	2004-06-01 00:00:00
441	10637	  50.13	   8.60	Frankfurt am Main, Germany	1932-09-01 00:00:00	1933-08-01 00:00:00
442	10639	  49.87	   8.65	Darmstadt - August Euler AP, German	1927-04-01 00:00:00	1975-08-01 00:00:00
443	10642	  50.17	   8.95	ETID Hanau US Army Airfield, West Germany	1979-02-06 00:00:00	1992-03-05 00:00:00
444	10657	  49.75	   9.50	Wertheim, West Germany	1973-07-17 00:00:00	1990-08-29 00:00:00
445	10659	  49.70	  10.10	Kitzingen US Air Base, West Germany	1982-03-17 00:00:00	1985-06-05 00:00:00
446	10672	  49.50	  10.98	(assigned station ID) Fuerth, Germany	1932-09-01 00:00:00	1933-08-01 00:00:00
447	10678	  49.98	  11.68	Bayreuth atmospheric profiler, Germany	2005-07-01 00:00:00	2005-07-01 00:00:00
448	10687	  49.70	  11.95	ETIC Grafenwoehr US Army Airfield, West Germany	1991-03-01 00:00:00	1995-08-03 00:00:00
449	10721	  49.10	   8.43	"(made up station ID) ""DLFZK"" Forschungszentrum Karlsruhe (FZK) COPS radiosonde site, Karlsruhe, Germany"	2007-06-05 00:00:00	2007-08-16 00:00:00
450	10739	  48.70	   9.00	Stuttgart (Boeblingen AP), Germany	1932-09-01 00:00:00	2003-12-09 00:00:00
451	10740	  48.64	   8.81	(made up station ID) Deckenpfronn COPS Supersite S (Sindelfingen), Germany	2007-06-01 00:00:00	2007-08-01 00:00:00
452	10763	  49.50	  11.08	EDDN Nuernberg AP, Germany	1994-02-08 00:00:00	1997-02-17 00:00:00
453	10764	  49.38	  11.17	EDIG Nuernberg - Feucht US Army Airfield, West Germany	1985-06-11 00:00:00	1991-08-15 00:00:00
454	10765	  49.22	  11.10	Roth (operated by German Army), West Germany	1983-01-01 00:00:00	1983-01-01 00:00:00
455	10771	  49.43	  11.90	EDZH Garmersdorf (Kuemmersbruck - Schweppermann-Kaserne), West Germany	1988-01-01 00:00:00	1993-09-21 00:00:00
456	10803	  48.02	   7.83	Freiburg, Germany	1940-01-16 00:00:00	1942-05-04 00:00:00
457	10812	  48.64	   8.07	"(made up station ID) ""DLACH"" Achern / Achert COPS site, Germany"	2006-07-12 00:00:00	2007-08-01 00:00:00
458	10813	  48.60	   8.20	(made up station ID) Hornisgrinde COPS Supersite H (Hornisgrinde), Germany	2007-06-01 00:00:00	2007-08-01 00:00:00
459	10814	  48.54	   8.40	"(made up station ID) ""FKB"" Heselbach-Baiersbronn ARM Mobile Facility (AMF) COPS Supersite M (Murg Valley), Germany"	2007-04-04 00:00:00	2007-12-31 00:00:00
460	10828	  48.0923	   9.2530	Sigmaringen, Germany	1997-12-16 00:00:00	2007-10-12 00:00:00
461	10862	  48.75	  11.80	Siegenburg, West Germany	1976-07-28 00:00:00	1984-12-19 00:00:00
462	10864	  48.07	  11.65	Neubiberg, West Germany	1946-06-01 00:00:00	1947-09-01 00:00:00
463	10865	  48.13	  11.55	Munich / Muenchen, Germany	1906-01-01 00:00:00	1933-01-01 00:00:00
464	10866	  48.23	  11.55	Munich / Muenchen (Oberwiesenfeld - Oberschleissheim AP), West Germany	1927-04-01 00:00:00	1976-07-16 00:00:00
465	10868	  48.25	  11.58	Munich / Muenchen (Oberschleissheim - DWD Test Station), West Germany	1976-07-22 00:00:00	1998-11-10 00:00:00
466	10921	  47.98	   8.90	Neuhausen Ob Eck, West Germany	1975-02-12 00:00:00	1994-11-07 00:00:00
467	10934	  47.65	   9.48	Friedrichshafen - Lake Constance / Bodensee, Germany)	1900-07-01 00:00:00	1935-01-01 00:00:00
468	10954	  47.83	  10.87	Altenstadt + Schongau, West Germany	1971-01-01 00:00:00	2005-01-01 00:00:00
469	10960	  47.46	  10.99	(made up station ID) Eibsee-Zugspitze cable car, Germany	1933-01-01 00:00:00	1933-01-01 00:00:00
470	10962	  47.8011	  11.0118	Hohenpeissenberg, West Germany	1982-03-01 00:00:00	1994-09-01 00:00:00
471	11010	  48.23	  14.18	LOWL Linz - Hoersching AP, Austria	1995-03-02 00:00:00	2005-04-13 00:00:00
472	11011	  48.23	  14.18	Linz - Horsching, Austria	1988-10-19 00:00:00	1994-11-01 00:00:00
473	11019	  48.68	  15.37	Allentsteig wind profiler, Austria	9999999	9999999
474	11030	  48.32	  16.13	Wien / Vienna - Tulln, Austria	1949-08-01 00:00:00	1955-09-01 00:00:00
475	11035	  48.248	  16.357	Wien / Vienna (Hohe Warte), Austria	1905-01-01 00:00:00	2010-10-24 00:00:00
476	11036	  48.13	  16.55	Wien / Vienna Schwechat International AP wind profiler, Austria	1995-01-01 00:00:00	1995-01-01 00:00:00
477	11120	  47.26	  11.44	Innsbruck - Reichenau AP, Austria	1931-01-01 00:00:00	1995-05-08 00:00:00
478	11122	  47.33	  11.70	Schwaz, Austria	1982-03-01 00:00:00	1982-05-01 00:00:00
479	11150	  47.47	  13.00	Salzburg wind profiler radar site, Austria	9999999	9999999
480	11239	  47.00	  15.43	Graz - Thalerhof AP, Austria	1989-09-26 00:00:00	1994-10-31 00:00:00
481	11240	  46.9939	  15.4470	Graz - Thalerhof AP, Austria	1995-03-02 00:00:00	1995-03-02 00:00:00
482	11518	  50.10	  14.28	LKPR Praha / Prague (Ruzyne AP), Czechoslovakia	9999999	9999999
483	11520	  50.01	  14.45	Praha / Prague (Libus - Observator Ceskeho Hydrometeorologickeho Ustavu [Czech Hydrometeorological Institute Observatory]), Czechoslovakia	1977-01-01 00:00:00	1998-10-27 00:00:00
484	11567	  50.12	  14.53	LKKB Prague (Kbely AP), Czechoslovakia	1949-05-01 00:00:00	1953-09-01 00:00:00
485	11722	  49.12	  16.75	LKTB Brno (Sokolnice - Turany AP), Czech Republic	1998-11-10 00:00:00	2003-12-16 00:00:00
486	11747	  49.45	  17.13	Prostejov, Czech Republic	2003-11-30 00:00:00	2003-11-30 00:00:00
487	11933	  49.12	  20.07	Strbske Pleso, Czechoslovakia	1982-03-01 00:00:00	1982-05-01 00:00:00
488	11934	  49.07	  20.25	LZTT Poprad - Tatry AP, Czechoslovakia	1963-09-01 00:00:00	1978-01-06 00:00:00
489	11952	  49.0344	  20.3229	Poprad (Ganovce), Czechoslovakia	1978-04-21 00:00:00	1991-08-01 00:00:00
490	12105	  54.20	  16.20	Koszalin, Poland	1960-01-01 00:00:00	1971-05-31 00:00:00
491	12116	  54.47	  17.05	Stolp, Germany	1932-09-01 00:00:00	1933-08-01 00:00:00
492	12120	  54.77	  17.57	Leba, Poland	1971-10-01 00:00:00	2005-07-13 00:00:00
493	12132	  54.70	  18.42	(made up station ID) Putzig / Puck, Poland	9999999	9999999
494	12140	  54.3997	  18.6978	Gdansk - Port of Gdansk Authority, Poland	9999999	9999999
495	12150	  54.35	  18.67	Danzig, Germany	1932-09-01 00:00:00	1974-04-19 00:00:00
496	12200	  53.92	  14.23	Swinemuende, Germany	1939-12-02 00:00:00	1942-02-28 00:00:00
497	12201	  53.92	  14.23	(made up station ID) Swinemuende, Germany, airplane soundings	1939-12-01 00:00:00	1940-03-05 00:00:00
498	12205	  53.38	  14.63	Stettin, Germany	1932-09-01 00:00:00	1933-08-01 00:00:00
499	12272	 999.9999	 999.9999	Olsztyn, Poland	9999999	9999999
500	12295	  53.10	  23.17	Bialystok, Poland	1975-08-23 00:00:00	1975-08-23 00:00:00
501	12330	  52.42	  16.83	EPPO Poznan (Lawica AP), Poland	1958-01-01 00:00:00	1992-02-29 00:00:00
502	12360	 999.9999	 999.9999	Plock, Poland	9999999	9999999
503	12374	  52.41	  20.96	Warszawa / Warsaw (Legionowo - Orodek Aerologii Instytutu Meteorologii i Gospodarki Wodnej [Aerology Centre, Institute of Meteorology and Water Administration]), Zegrzynska 38	1950-01-01 00:00:00	2005-06-18 00:00:00
504	12375	  52.41	  20.96	Warszawa / Warsaw (Legionowo Institute of Aerology), Poland	1939-01-01 00:00:00	1950-01-01 00:00:00
505	12425	  51.07	  17.00	(assigned station ID) Breslau, Germany	1932-09-01 00:00:00	1999-04-01 00:00:00
506	12465	  51.73	  19.40	EPLL Lodz (Lublinek AP), Poland	1971-01-01 00:00:00	1975-11-10 00:00:00
507	12500	 999.9999	 999.9999	Jelenia Gora, Poland	9999999	9999999
508	12541	  50.27	  18.68	(made up station ID) Gleiwitz, Germany	1932-09-01 00:00:00	1933-05-01 00:00:00
509	12566	  50.08	  19.80	Krakow, Poland	9999999	9999999
510	12570	 999.9999	 999.9999	Kielce, Poland	9999999	9999999
511	12577	  50.30	  21.45	EPML Mielec AP, Poland	1957-04-01 00:00:00	1966-07-01 00:00:00
512	12580	  50.10	  22.05	EPRZ Rzeszow (Jasionka AP), Poland	1971-01-01 00:00:00	1971-01-01 00:00:00
513	12625	  49.30	  19.97	Zakopane, Poland	9999999	9999999
514	12660	  49.62	  20.70	Nowy Sacz, Poland	9999999	9999999
515	12772	  48.13	  20.80	Miskolc, Hungary	1973-06-01 00:00:00	1990-12-01 00:00:00
516	12805	  47.68	  16.60	Sopron, Hungary	9999999	9999999
517	12812	  47.27	  16.63	Szombathely, Hungary	1971-01-01 00:00:00	1973-02-01 00:00:00
518	12822	  47.70	  17.68	Gyor, Hungary	9999999	9999999
519	12840	  47.52	  19.03	Budapest - Meteorological Institute, Hungary	1949-04-01 00:00:00	1953-12-01 00:00:00
520	12842	  47.43	  19.18	Budapest wind profiler, Hungary	9999999	9999999
521	12843	  47.4287	  19.1828	LHBP Budapest (Pestszentlorenc - Orszagos Meteorologiai Szolgalat Marczell Gyorgy Foobszervatorium), Hungary	1959-01-01 00:00:00	1991-02-28 00:00:00
522	12860	  47.17	  20.23	Szolnok, Hungary	9999999	9999999
523	12882	  47.48	  21.63	LHDC Debrecen AP, Hungary	1929-10-01 00:00:00	1973-03-01 00:00:00
524	12920	  46.75	  15.25	Keszthely, Hungary	9999999	9999999
525	12935	  46.90	  18.05	Siofok, Hungary	1973-06-01 00:00:00	1976-06-27 00:00:00
526	12942	  46.00	  18.23	Pecs (Pogany), Hungary	1971-01-01 00:00:00	1973-01-01 00:00:00
527	12981	  46.40	  20.20	(made up station ID) Szeged atmospheric profiler, Hungary	9999999	9999999
528	12982	  46.25	  20.10	Szeged AP, Hungary	1965-04-05 00:00:00	1995-04-28 00:00:00
529	13017	  46.07	  14.51	Ljubljana / Bezigrad, Slovenia	1956-01-01 00:00:00	1960-10-01 00:00:00
530	13067	  46.10	  19.77	Palic, Yugoslavia	1971-01-01 00:00:00	1982-07-21 00:00:00
531	13130	  45.82	  16.03	Zagreb (Maksimir), Yugoslavia	1976-03-01 00:00:00	1995-06-05 00:00:00
532	13150	  45.15	  18.02	Slavonski Brod, Yugoslavia	1971-09-01 00:00:00	1985-08-01 00:00:00
533	13222	  44.12	  15.23	Zadar / Zara, Yugoslavia	9999999	9999999
534	13224	  44.10	  15.37	LZDZ Zadar (Zemunik AP), Yugoslavia	1982-01-01 00:00:00	1983-01-01 00:00:00
535	13275	  44.78	  20.53	"Beograd / Belgrade - Zeleno Brdo [""Green Hill""], Yugoslavia"	1971-07-02 00:00:00	2005-11-03 00:00:00
536	13276	  44.78	  20.53	"Beograd / Belgrade - Zeleno Brdo [""Green Hill""], Yugoslavia"	1963-09-02 00:00:00	1971-06-30 00:00:00
537	13334	  43.52	  16.43	Split - Marjan Hill, Yugoslavia	1971-08-01 00:00:00	1983-04-12 00:00:00
538	13388	  43.33	  21.90	Nis, Yugoslavia	1971-10-01 00:00:00	1979-05-17 00:00:00
539	13462	  42.37	  19.25	LYTI Titograd (Golubovci - Podgorica AP), Yugoslavia	1971-10-01 00:00:00	1971-12-01 00:00:00
540	13477	  42.22	  20.75	Prizren, Yugoslavia	9999999	9999999
541	13481	  42.6546	  21.1349	Pristina - Komanda E Forcave Tokesore, Serbia and Montenegro	2003-10-01 00:00:00	2003-10-01 00:00:00
542	13586	  41.98	  21.47	LWSK Skopje - Petrovec AP, Yugoslavia	1975-09-01 00:00:00	2008-09-26 00:00:00
543	13615	  41.33	  19.78	Tirana, Albania	1982-03-01 00:00:00	1982-04-01 00:00:00
544	13622	  40.47	  19.48	Vlore / Valona, Albania	9999999	9999999
545	14015	  46.0655	  14.5124	Ljubljana, Slovenia	1997-12-17 00:00:00	2007-10-20 00:00:00
546	14240	  45.8213	  16.0339	Zagreb (Maksimir), Croatia	1996-01-01 00:00:00	1996-01-01 00:00:00
547	14370	  45.1622	  17.9947	Slavonski Brod, Croatia	9999999	9999999
548	14430	  44.1006	  15.3391	LDZD Zadar AP, Croatia	2003-01-13 00:00:00	2006-03-15 00:00:00
549	15010	  47.80	  22.88	Satu Mare, Romania	1976-02-04 00:00:00	1996-01-01 00:00:00
550	15014	  47.67	  23.58	Baia Mare, Romania	1976-02-04 00:00:00	1976-02-04 00:00:00
551	15023	  47.65	  26.25	Suceava, Romania	1976-02-10 00:00:00	1976-02-10 00:00:00
552	15080	  47.03	  21.93	LROD Oradea AP, Romania	1973-03-23 00:00:00	1976-01-23 00:00:00
553	15090	  47.20	  27.60	LRIA Iasi AP, Romania	1973-03-27 00:00:00	1976-02-10 00:00:00
554	15120	  46.78	  23.57	Cluj-Napoca Meteorological Institute, Vanatorului Street, Cluj-Napoca, Romania	1959-01-01 00:00:00	2003-01-01 00:00:00
555	15145	  46.53	  24.53	Tirgu-Mures, Romania	1976-01-25 00:00:00	1993-01-01 00:00:00
556	15150	  46.57	  26.98	Bacau, Romania	1973-03-23 00:00:00	1973-03-23 00:00:00
557	15200	  46.18	  21.27	LRAR Arad AP, Romania	1973-01-11 00:00:00	1976-01-21 00:00:00
558	15230	  45.88	  22.90	Deva, Romania	1973-05-09 00:00:00	1996-01-01 00:00:00
559	15235	  45.85	  24.98	Fagaras, Romania	1991-08-01 00:00:00	1991-08-01 00:00:00
560	15247	  45.77	  21.25	Timisoara, Romania	1976-01-25 00:00:00	1976-01-25 00:00:00
561	15260	  45.80	  24.20	Sibiu, Romania	1973-02-12 00:00:00	1980-02-19 00:00:00
562	15300	  45.67	  24.93	Brasov-Ghimbav, Romania	1976-02-04 00:00:00	1980-06-30 00:00:00
563	15302	  45.50	  25.58	Predeal, Romania	1976-02-04 00:00:00	1976-02-04 00:00:00
564	15310	  45.45	  28.03	Galati, Romania	1976-01-20 00:00:00	1976-01-20 00:00:00
565	15335	  45.18	  28.82	Tulcea, Romania	1976-02-10 00:00:00	1976-02-10 00:00:00
566	15350	  45.15	  26.82	Buzau, Romania	1973-05-27 00:00:00	1973-05-27 00:00:00
567	15360	 999.9999	 999.9999	Sulina, Romania	1998-06-05 00:00:00	1998-06-05 00:00:00
568	15410	  44.60	  22.60	Drobeta-Turnu Severin, Romania	1973-02-12 00:00:00	1980-02-08 00:00:00
569	15420	  44.50	  26.09	LRBS Bucuresti / Bucharest (Baneasa AP), Romania	1941-01-01 00:00:00	2000-08-12 00:00:00
570	15480	  44.18	  28.67	Constanta, Romania	1957-01-01 00:00:00	1976-01-20 00:00:00
571	15490	  43.77	  24.87	Turnu-Magurele, Romania	1976-02-10 00:00:00	1976-02-10 00:00:00
572	15614	  42.77	  23.20	Sofia - Bojourichte AP, Bulgaria	1925-01-01 00:00:00	2006-11-27 00:00:00
573	15730	  41.63	  25.40	Kurdzhali / Kardjali, Bulgaria	1977-10-17 00:00:00	1991-04-24 00:00:00
574	16037	  46.03	  12.60	Aviano - 31 Operations Support Squadron/Operational Weather Squadron (31 OSS/OWS), Aviano Air Base (operated by US Air Force) Radiometrics TP/WVP-3000 temp-humid profiler, Italy	2009-10-07 00:00:00	2012-03-29 00:00:00
575	16044	  46.03	  13.18	Udine (Campoformido AP, Operated by the Italian Air Force), Italy	1957-09-01 00:00:00	1986-06-01 00:00:00
576	16051	  44.95	   6.80	(made up station ID) Cesana-Pariol (San Sicario), Italy	9999999	9999999
577	16059	  45.02	   7.63	Torino / Turin (Mirafiori), Italy	1926-01-01 00:00:00	1926-01-01 00:00:00
578	16060	  45.40	   7.40	(made up station ID) Torino / Turin wind profiler, Italy	9999999	9999999
579	16065	  45.57	   8.72	(made up station ID) Lonate Pozzolo 45 MHz Meteo France wind profiler, Italy	1998-11-01 00:00:00	1999-11-01 00:00:00
580	16067	  45.57	   8.72	(made up station ID) Lonate Pozzolo 1238 MHz Degreane wind profiler, Italy	1998-09-07 00:00:00	1999-11-01 00:00:00
581	16074	  45.18	   9.17	(made up station ID) Pavia - R. Osservatorio Geofisico, Italy	1904-01-01 00:00:00	1920-01-01 00:00:00
582	16080	  45.55	   9.22	Milano / Milan (Cinisello), Italy	1926-01-01 00:00:00	1995-05-01 00:00:00
583	16095	  45.40	  11.85	Padova / Padua, Italy	1926-01-01 00:00:00	1926-01-01 00:00:00
584	16110	  45.65	  13.77	Trieste, Italy	1912-03-22 00:00:00	1912-03-22 00:00:00
585	16113	  44.5387	   7.6126	Levaldigi - Cuneo Levaldigi AP, Italy	2000-03-01 00:00:00	2000-03-01 00:00:00
586	16120	  44.44	   8.93	(assigned station ID) Genova - Forte Castellaccio, Italy	1926-01-01 00:00:00	1926-01-01 00:00:00
587	16144	  44.6543	  11.6230	San Pietro Capofiume, Italy	1987-08-10 00:00:00	1987-08-10 00:00:00
588	16149	  44.0244	  12.6127	Rimini, Italy	9999999	9999999
589	16158	  43.55	  10.32	(assigned station ID) Livorno, Italy	1926-01-01 00:00:00	1926-01-01 00:00:00
590	16190	  43.62	  13.52	Ancona, Italy	1926-01-01 00:00:00	1926-01-01 00:00:00
591	16224	  42.08	  12.21	Roma / Rome (Vigna del Valle Observatory), Italy	1910-06-01 00:00:00	2003-11-20 00:00:00
592	16228	  42.42	  13.52	L'Aquila atmospheric profiler, Ital	9999999	9999999
593	16239	  41.80	  12.55	LIRA Roma / Rome (Ciampino AP), Italy	1957-07-01 00:00:00	1963-04-01 00:00:00
594	16242	  41.80	  12.23	LIRF Roma / Rome (Fiumicino AP), Italy	1980-12-01 00:00:00	1986-09-30 00:00:00
595	16245	  41.6703	  12.4508	LIRE Roma / Rome (Pratica Di Mare AP), Italy	1987-08-10 00:00:00	1987-08-10 00:00:00
596	16289	  40.88	  14.28	LIRN Napoli / Naples (Capodichino AP), Italy	1926-01-01 00:00:00	1926-01-01 00:00:00
597	16301	  40.60	  15.72	(made up station ID) Potenza (Tito Scalo - Istituto di Metodologie per l'Analisi Ambientale, IMAA) EAQUATE site, Italy	2004-09-06 00:00:00	2004-09-10 00:00:00
598	16320	  40.65	  17.95	LIBR Brindisi (Borgo Casale - Casale AP), Italy	1979-12-01 00:00:00	1994-12-31 00:00:00
599	16330	  40.47	  17.28	Taranto, Italy	1926-01-01 00:00:00	1926-01-01 00:00:00
600	16410	  38.12	  13.32	Palermo, Sicily, Italy	1940-08-09 00:00:00	1941-02-07 00:00:00
601	16420	  38.20	  15.55	Messina, Sicily, Italy	1926-01-01 00:00:00	1966-08-01 00:00:00
602	16427	  38.0084	  12.5839	(made up station ID) Trapani Milo - Agenzia Spaziale Italiana (ASI), Italy	2002-06-01 00:00:00	2003-09-01 00:00:00
603	16429	  37.92	  12.50	LICT Trapani (Birgi Vecchi - Birgi AP), Sicily, Italy	1979-05-03 00:00:00	1986-06-01 00:00:00
604	16430	  37.78	  12.45	Marsala, Sicily, Italy	1941-02-09 00:00:00	1941-05-31 00:00:00
605	16460	  37.50	  15.08	Catania, Sicily, Italy	1941-07-01 00:00:00	1943-06-30 00:00:00
606	16464	  37.07	  15.30	Syracusa, Sicily, Italy	1939-02-24 00:00:00	1940-10-11 00:00:00
607	16539	  39.7398	   8.4596	Capo Frasca, Italy	2005-01-01 00:00:00	2005-01-01 00:00:00
608	16546	  39.3461	   8.9675	Decimomannu, Sardinia, Italy	2012-02-28 00:00:00	2012-02-28 00:00:00
609	16558	  39.5273	   9.6330	(made up station ID) Salto di Quirra - Sardinia Rocket Range, Capo San Lorenzo, Sardinia, Italy	1961-01-12 00:00:00	1961-01-12 00:00:00
610	16560	  39.25	   9.08	LIEE Cagliari (Elmas Aerodrome), Sardinia, Italy (WBAN 33019)	1944-08-01 00:00:00	2012-02-29 00:00:00
611	16596	 888.8888	 888.8888	Malta	1943-01-01 00:00:00	1978-12-31 00:00:00
612	16597	  35.90	  14.51	(assigned station ID) Valletta, Malta	1939-01-02 00:00:00	2001-01-08 00:00:00
613	16622	  40.52	  22.97	LGTS Thessaloniki - Mikra AP, Greece	1974-05-02 00:00:00	1992-06-01 00:00:00
614	16716	  37.90	  23.73	Athinai / Athens - Hellinikon AP, Greece	1945-01-01 00:00:00	2001-01-01 00:00:00
615	16754	  35.33	  25.18	LGIR Irakleion / Heraklion / Iraklion - Nikos Kazantzakis AP, Crete, Greece	1964-09-01 00:00:00	1988-01-01 00:00:00
616	17022	  41.45	  31.80	Zonguldak, Turkey	1971-01-01 00:00:00	1974-05-22 00:00:00
617	17030	  41.28	  36.33	Samsun, Turkey	1973-08-03 00:00:00	1999-07-06 00:00:00
618	17062	  40.9779	  29.0563	Istanbul (Goztepe), Turkey	1977-03-01 00:00:00	2007-12-01 00:00:00
619	17082	  40.88	  35.48	Merzifon, Turkey	1971-01-01 00:00:00	1983-11-26 00:00:00
620	17095	  39.9057	  41.2555	Erzurum - Kazim Karabekir Regional Meteorological Office, Turkey	2006-12-03 00:00:00	2006-12-03 00:00:00
621	17130	  39.9727	  32.8635	Ankara - Kalaba Central Meteorological Office, Turkey	1977-01-19 00:00:00	1991-03-03 00:00:00
622	17195	  38.78	  35.48	LTAU Kayseri (Erkilet AP), Turkey	1983-11-26 00:00:00	1983-11-26 00:00:00
623	17200	 999.9999	 999.9999	Malatya - Erhac AP, Turkey	9999999	9999999
624	17220	  38.3945	  27.0818	Izmir - Guzelyali Regional Meteorological Office, Turkey	1977-02-01 00:00:00	1994-05-07 00:00:00
625	17240	  37.7848	  30.5671	Isparta Regional Meteorological Office, Turkey	1977-02-02 00:00:00	2001-01-01 00:00:00
626	17280	  37.92	  40.20	LTCC Diyarbakir, Turkey	1973-03-01 00:00:00	2005-08-31 00:00:00
627	17281	  37.9096	  40.2132	Diyarbakir - Korhat Regional Meteorological Office, Turkey	2005-09-01 00:00:00	2005-09-01 00:00:00
628	17292	  37.03	  28.35	Mugla, Turkey	9999999	9999999
629	17300	 999.9999	 999.9999	Antalya, Turkey	1979-03-28 00:00:00	1979-03-28 00:00:00
630	17351	  37.0037	  35.3439	Adana - Yavuzlar Regional Meteorological Office, Turkey	1994-11-08 00:00:00	2004-12-03 00:00:00
631	17352	  36.98	  35.30	LTAG Adana AP, Turkey	1987-08-11 00:00:00	1994-11-03 00:00:00
632	17600	  34.75	  32.40	Paphos AP, Cyprus (Greece)	1972-10-19 00:00:00	1986-06-05 00:00:00
633	17601	  34.58	  32.98	Akrotiri, Cyprus (Greece)	1976-02-01 00:00:00	1976-02-01 00:00:00
634	17603	  34.78	  32.52	Episkopi, Cyprus (Greece)	1976-01-20 00:00:00	1976-01-20 00:00:00
635	17606	  35.15	  33.28	Nicosia, Cyprus (Greece)	1956-01-01 00:00:00	1971-11-27 00:00:00
636	17607	  35.141	  33.396	Nicosia (Athalassa), Cyprus (Turkey)	1983-07-27 00:00:00	1997-06-12 00:00:00
637	17609	  34.88	  33.63	LCLK Larnaca AP, Cyprus (Turkey)	1980-02-06 00:00:00	1980-02-06 00:00:00
638	17611	  35.08	  33.90	Ayios Nicolaos, Cyprus	1977-09-28 00:00:00	1977-09-28 00:00:00
639	20045	  80.62	  58.05	(made up station ID) Polar G. M. O. Imyenya E. T. Krenkel'a - rocketsondes, Franz Josef Land, Russia	1957-10-22 00:00:00	1957-10-22 00:00:00
640	20046	  80.62	  58.05	Polar G. M. O. Imyenya E. T. Krenkel'a, Ostrov Kheysa, Zemlya Frantsa Iosifa / Heiss Island, Franz Josef Land, Russia	1958-01-01 00:00:00	2008-10-06 00:00:00
641	20049	  80.37	  52.92	Bukhta Tikhaya, Ostrov Gukera, Zemlya Frantsa Iosifa / Tikhaya Harbor, Hooker Island, Franz Josef Land	1932-08-01 00:00:00	1957-01-01 00:00:00
642	20069	  79.50	  76.98	Ostrov Vize, Russia	1955-11-01 00:00:00	1991-11-05 00:00:00
643	20107	  78.07	  14.22	Barentsberg / Barencburg, Svalbard / Spitsbergen / Spitzbergen (Norway), Russia	1947-12-01 00:00:00	1995-01-27 00:00:00
644	20274	  77.50	  82.23	Ostrov Uedineniya, Russia	1957-09-18 00:00:00	1991-04-12 00:00:00
645	20292	  77.72	 104.28	Polar G. M. O. Imyenya E. K. Fedorova, Mys Chelyuskin, Russia	1949-11-04 00:00:00	2009-08-28 00:00:00
646	20353	  76.90	  68.57	Mys Zelanija / Cape Desire, Novaya Zemlya, Russia	1932-08-01 00:00:00	1993-04-30 00:00:00
647	20357	  76.18	  64.57	Russkaya, Novaya Zemlya, Russia	1953-03-01 00:00:00	1954-12-01 00:00:00
648	20647	  73.28	  53.95	Pomorskoye / Matochkin Shar, Mys Stobolvoy, Novaya Zemlya, Russia	1932-08-01 00:00:00	1933-08-01 00:00:00
649	20667	  73.33	  70.03	Stanciya Im. Popova, Belyy Island, Russia	1953-02-16 00:00:00	1995-02-24 00:00:00
